id,model_id,name,normalized_name,variable_name,unit,category,source,source_ref_id,dependency_type,source_model_id,source_output_id,year_summary_method,prediction_base_json
prem_agro_ingreso,model_agro,Ingreso cafe exportacion,ingreso cafe exportacion,ingreso_cafe,Q,Resultado,local,,none,,,sum,"{""method"": ""formula_placeholder"", ""params"": {""expression"": ""cafe_exportado * precio_cafe * (0.9 + lluvia_acumulada / 2000)""}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
prem_expansion_tiendas,model_expansion,Tiendas nuevas,tiendas nuevas,tiendas_nuevas,unidades,Operacion,local,,none,,,sum,"{""method"": ""linear_trend"", ""params"": {""lookback_periods"": 12}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
prem_expansion_capex_tienda,model_expansion,Capex por tienda,capex por tienda,capex_tienda,Q,Capex,local,,none,,,avg,"{""method"": ""moving_average"", ""params"": {""window"": 3}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
prem_expansion_payback,model_expansion,Meses payback,meses payback,meses_payback,meses,Retorno,local,,none,,,avg,"{""method"": ""arima_like"", ""params"": {""lookback_periods"": 24}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
prem_expansion_flujo,model_expansion,Flujo expansion,flujo expansion,flujo_expansion,Q,Resultado,local,,none,,,sum,"{""method"": ""formula_placeholder"", ""params"": {""expression"": ""tiendas_nuevas * capex_tienda / meses_payback""}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
prem_holding_ingreso_retail,model_holding,Ingreso retail consolidado,ingreso retail consolidado,ingreso_retail_consolidado,Q,Resultado,model_output,out_ventas_ingreso_neto,model_output,model_ventas,out_ventas_ingreso_neto,sum,"{""method"": ""manual"", ""params"": {}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
prem_holding_ingreso_agro,model_holding,Ingreso agro consolidado,ingreso agro consolidado,ingreso_agro_consolidado,Q,Resultado,model_output,out_agro_ingreso,model_output,model_agro,out_agro_ingreso,sum,"{""method"": ""manual"", ""params"": {}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
prem_holding_flujo_expansion,model_holding,Flujo expansion consolidado,flujo expansion consolidado,flujo_expansion_consolidado,Q,Resultado,model_output,out_expansion_flujo,model_output,model_expansion,out_expansion_flujo,sum,"{""method"": ""manual"", ""params"": {}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
prem_holding_corporativo,model_holding,Costo corporativo,costo corporativo,costo_corporativo,Q,Costo,local,,none,,,sum,"{""method"": ""moving_average"", ""params"": {""window"": 4}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
prem_holding_resultado,model_holding,Resultado holding,resultado holding,resultado_holding,Q,Resultado,local,,none,,,sum,"{""method"": ""formula_placeholder"", ""params"": {""expression"": ""ingreso_retail_consolidado + ingreso_agro_consolidado + flujo_expansion_consolidado - costo_corporativo""}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
